Comment,Description,Designator,Footprint,Manufacturer,Manufacturer Part Number,Manufacturer1 ComponentHeight,Manufacturer1 Example,Manufacturer1 Part Number,Part Description,Part Number,Quantity

"100nF","Non-polarised capacitor","C1, C2A, C2B, C2C, C2D, C2E, C2F, C2G, C2H, C6A, C6B, C6C, C6D, C6E, C6F, C6G, C6H, C7, C11A, C11B, C11C, C11D, C11E, C11F, C11G, C11H, C12, C14A, C14B, C14C, C14D, C14E, C14F, C14G, C14H, C15A, C15B, C15C, C15D, C15E, C15F, C15G, C15H, C18, C19, C20","CAPC1608X87N","GENERIC","CC0603_100NF_50V_10%_X5R, CC0603_10NF_50V_10%_X7R","0.9mm, 0.87mm","TDK, PHYCOMP","C1608X5R1H104K080AA, 223858615636","SMD Multilayer Chip Ceramic Capacitor","CC0603_100NF_50V_10%_X5R, CC0603_10NF_50V_10%_X7R","46"
"22uF","Polarised capacitor","C3A, C3B, C3C, C3D, C3E, C3F, C3G, C3H, C5, C13A, C13B, C13C, C13D, C13E, C13F, C13G, C13H, C16, C17, C21, C22, C23, C24","CAPAE430X540N","PANASONIC","EEEFK1A220AR","","","","Aluminum Electrolytic SMT Capacitor","CAE430-540_22UF_10V_20%","23"
"2.2nF","Non-polarised capacitor","C4A, C4B, C4C, C4D, C4E, C4F, C4G, C4H","CAPC1005X55N","GENERIC","CC0402_2.2NF_50V_10%_X7R","0.55mm","PHYCOMP","223858715627","SMD Multilayer Chip Ceramic Capacitor","CC0402_2.2NF_50V_10%_X7R","8"
"12pF","Non-polarised capacitor","C8, C9","CAPC1608X87N","GENERIC","CC0603_12PF_50V_5%_NP0","0.87mm","PHYCOMP","223886715129","SMD Multilayer Chip Ceramic Capacitor","CC0603_12PF_50V_5%_NP0","2"
"1uF","Non-polarised capacitor","C10A, C10B, C10C, C10D, C10E, C10F, C10G, C10H, C28","CAPC1005X55N","GENERIC","CC0402_1UF_16V_10%_X5R","0.55mm","TDK","C1005X5R1C105KT","SMD Multilayer Chip Ceramic Capacitor","CC0402_1UF_16V_10%_X5R","9"
"10uF","Non-polarised capacitor","C25","CAPC2012X135N","GENERIC","CC0805_10UF_16V_10%_X5R","1.4mm","KEMET","C0805C106K4PAC","SMD Multilayer Chip Ceramic Capacitor","CC0805_10UF_16V_10%_X5R","1"
"22uF","Non-polarised capacitor","C26, C27","CAPC2012X135N","GENERIC","CC0805_22UF_16V_10%_X5R","1.35mm","TDK","C2012X5R1C226KT","SMD Multilayer Chip Ceramic Capacitor","CC0805_22UF_16V_10%_X5R","2"
"100nF","Non-polarised capacitor","C29","CAPC1005X55N","GENERIC","CC0402_100NF_16V_10%_X5R","0.55mm","MURATA","GRM155R61C104KA88D","SMD Multilayer Chip Ceramic Capacitor","CC0402_100NF_16V_10%_X5R","1"
"6.8nF","Non-polarised capacitor","C30A, C30B, C30C, C30D, C30E, C30F, C30G, C30H","CAPC1005X55N","GENERIC","CC0402_6.8NF_16V_10%_X7R","0.55mm","PHYCOMP","223878715634","SMD Multilayer Chip Ceramic Capacitor","CC0402_6.8NF_16V_10%_X7R","8"
"PRTR5V0U2X","Ultra Low Capacitance Double Rail-to-Rail ESD Protection Diode","D1","SOT190P230X110-4N","NXP SEMICONDUCTORS","PRTR5V0U2X","","","","Ultra Low Capacitance (1pF) Double Rail-to-Rail ESD Protection Diode (8kV)","PRTR5V0U2X","1"
