Altium Designer Pick and Place Locations
C:\Users\micha\Desktop\Projekty\RFID reader\RFID_system-master\Project Outputs for RDIF_Reader\Pick Place\Pick Place for RFID_PCB.txt

========================================================================================================================
File Design Information:

Date:       05/08/19
Time:       21:00
Revision:   afca80ba489b6bb8bdda0923d017308662d36cc9
Variant:    No variations
Units used: mil

Designator Comment                    Layer    Footprint                  Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                       
D2         SM6T15CA                   TopLayer DIOM5436X265N              6733.638      2458.552      270      "Transient Voltage Suppressor Diode (Bi-Directional)"                                                                                             
C31H       18pF                       TopLayer CAPC1005X55N               1784.252      3944.095      90       "Non-polarised capacitor"                                                                                                                         
C31G       18pF                       TopLayer CAPC1005X55N               3220.472      3782.284      90       "Non-polarised capacitor"                                                                                                                         
C31F       18pF                       TopLayer CAPC1005X55N               3181.890      3029.488      270      "Non-polarised capacitor"                                                                                                                         
C31E       18pF                       TopLayer CAPC1005X55N               1750.258      2967.474      90       "Non-polarised capacitor"                                                                                                                         
C31D       18pF                       TopLayer CAPC1005X55N               1822.835      1803.150      90       "Non-polarised capacitor"                                                                                                                         
C31C       18pF                       TopLayer CAPC1005X55N               3156.381      1999.397      270      "Non-polarised capacitor"                                                                                                                         
C31B       18pF                       TopLayer CAPC1005X55N               4823.189      2921.290      360      "Non-polarised capacitor"                                                                                                                         
C31A       18pF                       TopLayer CAPC1005X55N               4559.055      1868.110      90       "Non-polarised capacitor"                                                                                                                         
DL10       Red                        TopLayer LED_OSRAM_LSR976           5322.047      4974.599      90       "LED Red 1C 2A"                                                                                                                                   
DL9        Red                        TopLayer LED_OSRAM_LSR976           6025.984      4974.599      90       "LED Red 1C 2A"                                                                                                                                   
DL8        Red                        TopLayer LED_OSRAM_LSR976           5500.787      4974.599      90       "LED Red 1C 2A"                                                                                                                                   
DL7        Red                        TopLayer LED_OSRAM_LSR976           6185.039      4974.599      90       "LED Red 1C 2A"                                                                                                                                   
DL6        Red                        TopLayer LED_OSRAM_LSR976           5687.401      4974.599      90       "LED Red 1C 2A"                                                                                                                                   
DL5        Red                        TopLayer LED_OSRAM_LSR976           6351.968      4974.599      90       "LED Red 1C 2A"                                                                                                                                   
DL4        Red                        TopLayer LED_OSRAM_LSR976           5862.203      4974.599      90       "LED Red 1C 2A"                                                                                                                                   
DL3        Red                        TopLayer LED_OSRAM_LSR976           6522.834      4974.599      90       "LED Red 1C 2A"                                                                                                                                   
R42        1k                         TopLayer RESC1608X50N               5248.032      4992.126      270      "Resistor - 1%"                                                                                                                                   
R41        1k                         TopLayer RESC1608X50N               5948.819      4992.126      270      "Resistor - 1%"                                                                                                                                   
R40        1k                         TopLayer RESC1608X50N               5425.197      4992.126      270      "Resistor - 1%"                                                                                                                                   
R39        1k                         TopLayer RESC1608X50N               6114.173      4992.126      270      "Resistor - 1%"                                                                                                                                   
R38        1k                         TopLayer RESC1608X50N               5614.173      4992.126      270      "Resistor - 1%"                                                                                                                                   
R37        1k                         TopLayer RESC1608X50N               6279.528      4992.126      270      "Resistor - 1%"                                                                                                                                   
R36        1k                         TopLayer RESC1608X50N               5787.401      4992.126      270      "Resistor - 1%"                                                                                                                                   
R35        1k                         TopLayer RESC1608X50N               6444.882      4992.126      270      "Resistor - 1%"                                                                                                                                   
C30H       6.8nF                      TopLayer CAPC1005X55N               2011.811      4330.709      180      "Non-polarised capacitor"                                                                                                                         
C30G       6.8nF                      TopLayer CAPC1005X55N               3350.394      4409.449      180      "Non-polarised capacitor"                                                                                                                         
C30F       6.8nF                      TopLayer CAPC1005X55N               3370.079      3366.142      180      "Non-polarised capacitor"                                                                                                                         
C30E       6.8nF                      TopLayer CAPC1005X55N               1964.567      3381.890      180      "Non-polarised capacitor"                                                                                                                         
C30D       6.8nF                      TopLayer CAPC1005X55N               1964.567      2299.213      180      "Non-polarised capacitor"                                                                                                                         
C30C       6.8nF                      TopLayer CAPC1005X55N               3342.520      2322.835      180      "Non-polarised capacitor"                                                                                                                         
C30B       6.8nF                      TopLayer CAPC1005X55N               4748.032      3411.417      180      "Non-polarised capacitor"                                                                                                                         
C30A       6.8nF                      TopLayer CAPC1005X55N               4700.787      2344.563      180      "Non-polarised capacitor"                                                                                                                         
J3         Family                     TopLayer RENHOTEC_RHT-610-0049      1289.564      3736.465      180      "Dual Right Angle 50 Ohm BNC Jack, White Valox Case"                                                                                              
